t,r,l,episode_ale_score
6608,1.0,413,200.0
6864,0.0,429,180.0
7632,5.0,477,280.0
7888,12.5,493,430.0
7984,7.5,499,330.0
8272,2.5,517,230.0
8944,6.0,559,300.0
9680,17.5,605,530.0
9744,38.5,609,950.0
10096,1.5,631,210.0
11312,20.0,707,580.0
11760,6.5,735,310.0
12256,3.5,353,250.0
13264,42.5,829,1030.0
14288,41.0,893,1000.0
14736,24.5,921,670.0
15616,32.5,547,830.0
15696,4.0,981,260.0
15712,10.0,377,380.0
16576,6.5,519,310.0
17888,11.5,509,410.0
18688,3.0,669,240.0
18784,24.5,697,670.0
19904,83.0,751,1840.0
20064,5.5,519,290.0
20608,28.5,657,750.0
21152,6.0,615,300.0
21744,7.5,593,330.0
23648,2.5,557,230.0
23744,37.0,925,920.0
24960,15.0,731,480.0
26368,5.5,755,290.0
26544,15.0,623,480.0
26704,12.5,693,430.0
27616,9.5,745,370.0
27984,15.5,767,490.0
29424,3.5,595,250.0
29776,16.5,687,510.0
30208,-3.5,529,110.0
31344,6.5,705,310.0
31408,7.0,675,320.0
31504,16.5,801,510.0
31856,11.5,873,410.0
32112,-3.5,529,110.0
33424,-3.5,529,110.0
34832,-5.5,529,70.0
35008,-3.5,529,110.0
36288,6.5,519,310.0
36672,13.5,623,450.0
36688,5.5,971,290.0
37104,6.0,835,300.0
37536,1.0,485,200.0
37888,6.5,529,310.0
39408,5.5,575,290.0
40416,6.5,535,310.0
40544,5.5,571,290.0
40896,6.5,597,310.0
41216,0.5,487,190.0
41488,15.5,867,490.0
42528,34.0,689,860.0
42560,17.0,653,520.0
44944,7.5,541,330.0
45344,37.0,657,920.0
45520,7.0,657,320.0
46496,5.0,613,280.0
46960,5.5,643,290.0
47456,11.5,647,410.0
48432,34.5,681,870.0
50128,32.5,557,830.0
50288,1.0,483,200.0
50496,37.0,693,920.0
51472,4.0,691,260.0
51856,15.5,873,490.0
51984,34.0,715,860.0
53056,17.5,723,530.0
53264,1.5,671,210.0
53616,15.5,795,490.0
54816,1.5,581,210.0
55440,-1.0,499,160.0
57792,11.5,803,410.0
57824,0.5,471,190.0
58400,-2.0,517,140.0
58448,31.5,819,810.0
58640,1.5,759,210.0
58800,-2.0,519,140.0
59520,-4.0,503,100.0
60192,-2.0,521,140.0
60384,-2.0,525,140.0
61424,-2.0,523,140.0
62208,-2.0,537,140.0
62624,12.5,887,430.0
62880,32.5,601,830.0
64848,-2.0,439,140.0
64992,-2.0,597,140.0
65744,-2.0,683,140.0
66160,-2.0,523,140.0
66912,-2.0,517,140.0
67392,-1.0,559,160.0
68496,0.5,519,190.0
68880,-1.0,585,160.0
69680,2.0,581,220.0
70368,-1.0,559,160.0
71072,-2.0,767,140.0
71072,1.5,1507,210.0
71088,-5.5,529,70.0
71152,2.0,517,220.0
71248,11.5,803,410.0
73296,3.0,519,240.0
74736,-1.0,783,160.0
75008,1.0,635,200.0
75136,6.5,561,310.0
75744,2.5,625,230.0
76672,1.5,487,210.0
76688,1.0,581,200.0
76912,2.5,625,230.0
78432,2.5,621,230.0
78720,15.5,565,490.0
79440,1.5,523,210.0
79536,-3.5,529,110.0
80064,7.0,561,320.0
80896,2.5,609,230.0
82688,4.0,587,260.0
83008,-2.0,517,140.0
83312,6.5,809,310.0
84000,7.0,797,320.0
84992,3.5,519,250.0
85392,2.5,649,230.0
85520,2.5,649,230.0
86224,2.5,597,230.0
86720,1.5,613,210.0
87312,1.5,723,210.0
87424,0.5,493,190.0
87696,1.5,561,210.0
89024,3.5,599,250.0
89104,1.5,565,210.0
90416,3.5,595,250.0
90480,-1.0,487,160.0
90832,7.0,775,320.0
