#{"t_start": 1760747982.639977, "env_id": "None"}
r,l,t
1.0,413,2.076226
0.0,429,2.114816
5.0,477,2.242414
12.5,493,2.284599
7.5,499,2.304532
2.5,517,2.358902
6.0,559,2.463426
17.5,605,2.578321
38.5,609,2.592375
1.5,631,2.652576
20.0,707,2.837983
6.5,735,2.910717
3.5,353,2.990386
42.5,829,3.134619
41.0,893,3.27731
24.5,921,3.342504
32.5,547,3.467211
4.0,981,3.483239
10.0,377,3.489239
6.5,519,3.617094
11.5,509,3.803413
3.0,669,3.914487
24.5,697,3.933518
83.0,751,4.102397
5.5,519,4.128258
28.5,657,4.209967
6.0,615,4.291583
7.5,593,4.382692
2.5,557,4.668029
37.0,925,4.686021
15.0,731,4.87087
5.5,755,5.07195
15.0,623,5.100789
12.5,693,5.127334
9.5,745,5.259275
15.5,767,5.318961
3.5,595,5.540335
16.5,687,5.598462
-3.5,529,5.66458
6.5,705,5.844641
7.0,675,5.859207
16.5,801,5.877493
11.5,873,5.936293
-3.5,529,5.980876
-3.5,529,6.25628
-5.5,529,6.612901
-3.5,529,6.651289
6.5,519,6.885345
13.5,623,6.954854
5.5,971,6.960866
6.0,835,7.024998
1.0,485,7.100192
6.5,529,7.157555
5.5,575,7.39619
6.5,535,7.569234
5.5,571,7.592346
6.5,597,7.652639
0.5,487,7.703634
15.5,867,7.750884
34.0,689,7.910485
17.0,653,7.91944
7.5,541,8.257174
37.0,657,8.316224
7.0,657,8.346277
5.0,613,8.487215
5.5,643,8.556488
11.5,647,8.637186
34.5,681,8.777525
32.5,557,9.020763
1.0,483,9.047311
37.0,693,9.08278
4.0,691,9.228306
15.5,873,9.28669
34.0,715,9.307251
17.5,723,9.469241
1.5,671,9.503125
15.5,795,9.560753
1.5,581,9.766659
-1.0,499,9.871944
11.5,803,10.228735
0.5,471,10.236743
-2.0,517,10.32364
31.5,819,10.336659
1.5,759,10.384195
-2.0,519,10.419262
-4.0,503,10.560345
-2.0,521,10.682278
-2.0,525,10.723866
-2.0,523,10.902833
-2.0,537,11.035784
12.5,887,11.110393
32.5,601,11.154887
-2.0,439,11.471278
-2.0,597,11.50033
-2.0,683,11.626479
-2.0,523,11.699653
-2.0,517,11.82302
-1.0,559,11.891546
0.5,519,12.05133
-1.0,585,12.106375
2.0,581,12.233181
-1.0,559,12.3464
-2.0,767,12.461757
1.5,1507,12.461757
-5.5,529,12.468755
2.0,517,12.485784
11.5,803,12.505786
3.0,519,12.814259
-1.0,783,13.020519
1.0,635,13.060391
6.5,561,13.082929
2.5,625,13.169531
1.5,487,13.322449
1.0,581,13.329448
2.5,625,13.368914
2.5,621,13.60344
15.5,565,13.648523
1.5,523,13.760724
-3.5,529,13.78136
7.0,561,13.875447
2.5,609,14.006898
4.0,587,14.261313
-2.0,517,14.307907
6.5,809,14.356521
7.0,797,14.461241
3.5,519,14.622505
2.5,649,14.687978
2.5,649,14.710531
2.5,597,14.824125
1.5,613,14.902123
1.5,723,14.997941
0.5,493,15.017632
1.5,561,15.063171
3.5,599,15.268671
1.5,565,15.285203
3.5,595,15.47692
-1.0,487,15.488944
7.0,775,15.544088
0.5,487,15.585165
-5.5,529,15.795455
1.0,487,15.850615
1.0,487,15.935345
13.5,715,16.114333
11.5,605,16.214569
-3.5,529,16.234607
0.5,515,16.296762
3.0,521,16.330603
0.5,521,16.381197
-2.0,517,16.573305
5.5,519,16.592106
0.5,469,16.675492
1.0,487,16.709759
2.0,533,16.884214
-1.0,533,16.928792
5.5,871,17.005601
3.0,519,17.106109
2.0,517,17.225436
2.0,555,17.244086
3.5,469,17.39976
2.0,517,17.42564
3.5,469,17.484015
0.5,519,17.554639
-1.0,533,17.726972
3.5,469,17.780678
6.5,609,17.871508
0.5,573,18.012556
-3.5,529,18.05137
6.5,559,18.297748
3.0,565,18.358951
-1.0,701,18.445421
3.5,539,18.481498
-5.5,529,18.585276
6.5,519,18.799887
7.0,765,18.97105
3.0,683,19.007212
6.5,597,19.07334
6.5,543,19.155674
6.5,609,19.263327
1.5,735,19.291893
6.5,775,19.374562
-1.0,533,19.408143
6.5,561,19.447266
0.5,469,19.647823
-1.0,701,19.654334
36.5,607,19.92382
6.5,597,20.114035
16.5,553,20.215318
7.5,803,20.360924
17.0,781,20.493594
15.0,671,20.680233
3.5,671,20.710057
-5.5,529,20.730221
5.5,587,20.775405
7.5,725,20.921555
27.5,697,20.94562
1.5,575,21.149306
2.5,679,21.175851
19.0,789,21.34214
5.0,735,21.360171
2.5,597,21.480072
1.5,557,21.579314
34.0,799,21.731724
19.5,557,21.824733
33.5,621,21.841268
4.0,499,22.031506
0.0,659,22.188119
28.5,617,22.299462
